rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,disabled
840,84,UNSW Sydney,68.9,840,47.2,173,57.4,98,91.1,107,98.6,80,94.5,59,master_account,6,638,Australia,"47,044",36.6,40%,47:53:00,26%,UNSW Sydney unsw australia unsw,"Accounting & Finance,Medicine & Dentistry,Business & Management,Mechanical & Aerospace Engineering,Economics & Econometrics,Sport Science,Chemical Engineering,Chemistry,General Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Architecture,Psychology,Sociology,Geography,Other Health,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Civil Engineering,Languages, Literature & Linguistics,Communication & Media Studies,Education,Politics & International Studies (incl Development Studies),Computer Science,Law,Physics & Astronomy,History, Philosophy & Theology",FALSE
850,85,University of Minnesota,68.7,850,61,70,58.5,92,87.2,171,99.8,42,48.3,859,public,0,506,United States,"59,556",11.8,9%,55:45:00,22%,University of Minnesota,"Languages, Literature & Linguistics,Agriculture & Forestry,Veterinary Science,Chemical Engineering,Physics & Astronomy,Psychology,History, Philosophy & Theology,Civil Engineering,Communication & Media Studies,Architecture,Biological Sciences,Mathematics & Statistics,Education,General Engineering,Politics & International Studies (incl Development Studies),Business & Management,Other Health,Geography,Accounting & Finance,Electrical & Electronic Engineering,Law,Economics & Econometrics,Medicine & Dentistry,Sport Science,Sociology,Computer Science,Chemistry,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences",FALSE
860,86,Purdue University West Lafayette,68.5,860,64,60,65.3,66,71.8,517,84.3,215,76.7,303,public,0,562,United States,"42,633",18.3,17%,44:56:00,37%,Purdue University West Lafayette,"General Engineering,Communication & Media Studies,Economics & Econometrics,Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),Computer Science,Mathematics & Statistics,Psychology,Architecture,Biological Sciences,Business & Management,Chemical Engineering,Law,Other Health,Sport Science,Sociology,History, Philosophy & Theology,Agriculture & Forestry,Chemistry,Accounting & Finance,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Physics & Astronomy,Medicine & Dentistry,Veterinary Science,Education,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",FALSE
870,87,University of Glasgow,68.2,870,48.1,156,51.8,128,96.8,32,69.7,438,96.1,30,master_account,11,566,United Kingdom,"32,270",14.4,43%,59:41:00,23%,University of Glasgow,"Architecture,Veterinary Science,Law,History, Philosophy & Theology,Civil Engineering,Sociology,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Economics & Econometrics,Electrical & Electronic Engineering,Chemistry,Accounting & Finance,Archaeology,Sport Science,Geography,Computer Science,Mathematics & Statistics,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Other Health,Geology, Environmental, Earth & Marine Sciences,General Engineering,Physics & Astronomy,Education,Medicine & Dentistry,Agriculture & Forestry,Psychology",FALSE
880,87,The Hong Kong Polytechnic University,68.2,880,45.7,192,54.1,117,94.5,53,87.4,181,96.3,29,master_account,11,723,Hong Kong,"20,034",30.6,30%,51:49:00,38%,The Hong Kong Polytechnic University PolyU Poly U HK PolyU,"Physics & Astronomy,Biological Sciences,Business & Management,Languages, Literature & Linguistics,Art, Performing Arts & Design,Sociology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Communication & Media Studies,Chemistry,Electrical & Electronic Engineering,Computer Science,Accounting & Finance,Psychology,Chemical Engineering,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Other Health,General Engineering,Mathematics & Statistics",FALSE
890,87,Humboldt University of Berlin,68.2,890,55.3,95,63.7,72,82.8,263,65.4,540,79,265,master_account,0,573,Germany,"34,761",54.5,18%,,23%,Humboldt University of Berlin,"Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Computer Science,History, Philosophy & Theology,Economics & Econometrics,Languages, Literature & Linguistics,Psychology,Education,Physics & Astronomy,Law,Chemistry,Business & Management,Medicine & Dentistry,Art, Performing Arts & Design,Mathematics & Statistics,Accounting & Finance,Politics & International Studies (incl Development Studies),Biological Sciences,Archaeology,Sport Science,Agriculture & Forestry,Geography,Sociology,Other Health",FALSE
900,90,RWTH Aachen University,68,900,54.9,101,64.8,67,78.9,347,100,22,71.2,391,master_account,0,632,Germany,"34,914",43.3,29%,34 : 66,39%,RWTH Aachen University,"Mechanical & Aerospace Engineering,Communication & Media Studies,Computer Science,Biological Sciences,Chemistry,Accounting & Finance,Chemical Engineering,Mathematics & Statistics,Business & Management,History, Philosophy & Theology,Civil Engineering,Education,Languages, Literature & Linguistics,Geography,Electrical & Electronic Engineering,Sociology,Other Health,Veterinary Science,Physics & Astronomy,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Architecture,Psychology",FALSE
910,91,University of Bonn,67.8,910,51.7,120,57.7,96,89.7,129,82.6,233,73.8,353,master_account,0,868,Germany,"26,290",44.5,17%,57:43:00,26%,University of Bonn,"Communication & Media Studies,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Business & Management,Computer Science,Law,Biological Sciences,Politics & International Studies (incl Development Studies),Archaeology,Sociology,Other Health,Chemistry,Economics & Econometrics,Languages, Literature & Linguistics,Physics & Astronomy,Agriculture & Forestry,Education,Medicine & Dentistry,Mathematics & Statistics,Psychology,Geography",FALSE
920,92,"University of California, Irvine",67.4,920,47.1,174,53.8,119,93.2,72,96.1,102,80.9,243,public,0,550,United States,"35,675",16.2,26%,53:47:00,25%,"University of California, Irvine","Electrical & Electronic Engineering,General Engineering,Civil Engineering,Sociology,Biological Sciences,Psychology,Education,Chemical Engineering,Chemistry,Other Health,Medicine & Dentistry,Languages, Literature & Linguistics,Economics & Econometrics,Politics & International Studies (incl Development Studies),Business & Management,Art, Performing Arts & Design,Architecture,Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Law,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Computer Science",FALSE
930,92,Vanderbilt University,67.4,930,54.1,104,48.5,153,96,37,96.5,99,62.9,522,private,0,534,United States,"12,971",3.9,17%,55:45:00,16%,Vanderbilt University,"Physics & Astronomy,Mechanical & Aerospace Engineering,General Engineering,Sociology,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Psychology,Other Health,Economics & Econometrics,Chemistry,Mathematics & Statistics,Accounting & Finance,Communication & Media Studies,Business & Management,Civil Engineering,Medicine & Dentistry,Art, Performing Arts & Design,Geography,Politics & International Studies (incl Development Studies),Biological Sciences,Archaeology,Electrical & Electronic Engineering,Law,Education,Chemical Engineering,Languages, Literature & Linguistics",FALSE
940,94,Charité - Universitätsmedizin Berlin,67.2,940,47.5,164,49.1,149,97.7,16,100,3,75.2,328,master_account,0,131692,Germany,"8,868",17.5,21%,65:35:00,6%,Charité - Universitätsmedizin Berlin,"Medicine & Dentistry,Other Health",FALSE
950,95,Lomonosov Moscow State University,67,950,87.5,17,75.2,46,33.9,1354,91.1,155,73.8,355,master_account,0,753,Russian Federation,"32,680",9.6,37%,50:50:00,39%,Lomonosov Moscow State University,"Art, Performing Arts & Design,Agriculture & Forestry,Biological Sciences,Chemistry,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Education,Chemical Engineering,Communication & Media Studies,Computer Science,Geography,History, Philosophy & Theology,Sport Science,Law,Other Health,Geology, Environmental, Earth & Marine Sciences,Psychology,Languages, Literature & Linguistics,Medicine & Dentistry,Physics & Astronomy,Accounting & Finance,Archaeology,Mathematics & Statistics,Business & Management,Sociology",TRUE
960,95,University of Tübingen,67,960,49.1,142,56.5,106,89,138,99.8,45,72,376,master_account,0,652,Germany,"21,632",27.1,14%,59:41:00,21%,University of Tübingen,"Chemistry,Economics & Econometrics,Communication & Media Studies,Physics & Astronomy,Medicine & Dentistry,Geography,Politics & International Studies (incl Development Studies),Biological Sciences,Sport Science,Accounting & Finance,Computer Science,Psychology,Languages, Literature & Linguistics,Education,Business & Management,Mathematics & Statistics,History, Philosophy & Theology,Archaeology,Geology, Environmental, Earth & Marine Sciences,Other Health,Law,Sociology",FALSE
970,97,KTH Royal Institute of Technology,66.9,970,53.5,107,57.8,95,81,300,97.7,89,82.5,214,master_account,6,651,Sweden,"13,269",15.9,26%,34 : 66,46%,KTH Royal Institute of Technology,"Chemical Engineering,General Engineering,Economics & Econometrics,Mathematics & Statistics,Architecture,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Education,Computer Science,Mechanical & Aerospace Engineering,Biological Sciences,Chemistry,Civil Engineering,Business & Management,Electrical & Electronic Engineering",FALSE
980,97,University of Southampton,66.9,980,48.9,143,50.1,140,92.7,82,73.1,368,96.5,26,master_account,0,593,United Kingdom,"19,920",13,35%,51:49:00,32%,University of Southampton,"Geography,Computer Science,Geology, Environmental, Earth & Marine Sciences,Other Health,Civil Engineering,Chemistry,Business & Management,General Engineering,Communication & Media Studies,Economics & Econometrics,History, Philosophy & Theology,Education,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Law,Archaeology,Biological Sciences,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Psychology,Mathematics & Statistics,Art, Performing Arts & Design,Chemical Engineering,Sociology,Accounting & Finance",FALSE
990,99,Erasmus University Rotterdam,66.7,990,38.5,347,54.1,116,96.9,31,94.7,122,90.6,125,master_account,1,621,Netherlands,"33,874",36,25%,54:46:00,10%,Erasmus University Rotterdam,"Biological Sciences,Law,Psychology,Mathematics & Statistics,Art, Performing Arts & Design,Other Health,History, Philosophy & Theology,Sociology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Accounting & Finance,Business & Management,Medicine & Dentistry,Education,Communication & Media Studies",FALSE
1000,99,Ohio State University (Main campus),66.7,1000,55.8,92,52.7,123,88.4,147,85,209,67.3,442,public,0,521,United States,"55,538",11.4,11%,51:49:00,22%,Ohio State University (Main campus),"Art, Performing Arts & Design,Medicine & Dentistry,Psychology,Agriculture & Forestry,Accounting & Finance,Computer Science,Other Health,Archaeology,Education,Business & Management,Economics & Econometrics,Communication & Media Studies,Mechanical & Aerospace Engineering,Chemical Engineering,Architecture,Sport Science,Sociology,Law,Languages, Literature & Linguistics,Veterinary Science,Biological Sciences,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,History, Philosophy & Theology,Physics & Astronomy,Chemistry,Geography,General Engineering,Civil Engineering",FALSE
1010,101,University of Birmingham,66.6,1010,46.1,184,49.3,147,95.5,42,72.1,383,95.1,45,master_account,0,612,United Kingdom,"32,625",15.2,32%,58:42:00,23%,University of Birmingham,"Art, Performing Arts & Design,Civil Engineering,Geography,General Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Archaeology,Mathematics & Statistics,Accounting & Finance,Other Health,Physics & Astronomy,Education,History, Philosophy & Theology,Sport Science,Psychology,Languages, Literature & Linguistics,Chemical Engineering,Law,Medicine & Dentistry,Biological Sciences,Electrical & Electronic Engineering,Sociology,Computer Science,Chemistry,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies)",FALSE
1020,102,Free University of Berlin,66.5,1020,52.1,117,59.7,86,82.5,272,71.6,394,82.4,215,master_account,0,617,Germany,"25,427",41.5,20%,63:37:00,23%,Free University of Berlin,"Politics & International Studies (incl Development Studies),Chemistry,Communication & Media Studies,Art, Performing Arts & Design,Business & Management,Archaeology,History, Philosophy & Theology,Biological Sciences,Computer Science,Psychology,Mathematics & Statistics,Law,Languages, Literature & Linguistics,Education,Sociology,Physics & Astronomy,Veterinary Science,Economics & Econometrics,Accounting & Finance,Geography,Geology, Environmental, Earth & Marine Sciences",FALSE
1030,103,University of Copenhagen,66.3,1030,49.2,139,51.1,134,91.3,102,89.5,171,80.1,256,master_account,0,599,Denmark,"31,728",4.3,14%,62:38:00,17%,University of Copenhagen,"Sport Science,Chemistry,Archaeology,Geography,Medicine & Dentistry,Languages, Literature & Linguistics,Computer Science,Other Health,Mathematics & Statistics,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Psychology,Biological Sciences,Law,Veterinary Science,Economics & Econometrics,Agriculture & Forestry,Sociology,Physics & Astronomy,Politics & International Studies (incl Development Studies),History, Philosophy & Theology",FALSE
1040,103,McMaster University,66.3,1040,43.8,224,51.3,133,93,76,100,17,87.3,163,master_account,11,529,Canada,"28,254",30.9,22%,56:44:00,16%,McMaster University,"Other Health,Physics & Astronomy,Economics & Econometrics,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Biological Sciences,Psychology,Art, Performing Arts & Design,Civil Engineering,Sociology,Languages, Literature & Linguistics,Chemical Engineering,Geography,Electrical & Electronic Engineering,Communication & Media Studies,Archaeology,Sport Science,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Accounting & Finance,Computer Science,Chemistry",FALSE
1050,105,University of Sheffield,66.2,1050,48,160,49.5,144,92.3,88,77.5,297,92,101,master_account,11,565,United Kingdom,"27,860",15.4,40%,53:47:00,28%,University of Sheffield united kingdom UK Sheffield,"History, Philosophy & Theology,Computer Science,Geography,Archaeology,Mathematics & Statistics,Sociology,Languages, Literature & Linguistics,Chemical Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Chemistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Other Health,Economics & Econometrics,Communication & Media Studies,Law,Civil Engineering,Physics & Astronomy,Medicine & Dentistry,Accounting & Finance,Business & Management,Psychology,Architecture,Biological Sciences,Education",FALSE
1060,106,Emory University,66.1,1060,53.1,109,45.7,183,95.5,43,81.6,241,69.3,415,private,0,539,United States,"13,127",4,19%,61:39:00,8%,Emory University,"Art, Performing Arts & Design,Mathematics & Statistics,Accounting & Finance,Chemistry,Economics & Econometrics,General Engineering,Psychology,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Computer Science,History, Philosophy & Theology,Communication & Media Studies,Other Health,Sociology,Politics & International Studies (incl Development Studies),Physics & Astronomy,Law,Medicine & Dentistry,Biological Sciences,Business & Management",FALSE
1070,106,Lund University,66.1,1070,46.7,177,56.6,104,86.6,181,99.8,41,79.8,259,master_account,0,544,Sweden,"30,349",12,18%,56:44:00,23%,Lund University,"Sociology,Computer Science,Physics & Astronomy,Business & Management,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Chemistry,Accounting & Finance,Art, Performing Arts & Design,Electrical & Electronic Engineering,Communication & Media Studies,Architecture,Medicine & Dentistry,Biological Sciences,Education,Chemical Engineering,Geography,Archaeology,Agriculture & Forestry,Law,History, Philosophy & Theology,Civil Engineering,Other Health,Mathematics & Statistics,Psychology,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies)",FALSE
1080,106,University of Warwick,66.1,1080,48.1,158,52.1,126,89,139,70.5,418,96.4,28,master_account,0,622,United Kingdom,"24,905",14.4,44%,50:50:00,30%,University of Warwick,"Computer Science,Politics & International Studies (incl Development Studies),General Engineering,Chemistry,History, Philosophy & Theology,Education,Medicine & Dentistry,Communication & Media Studies,Economics & Econometrics,Mechanical & Aerospace Engineering,Mathematics & Statistics,Psychology,Civil Engineering,Geography,Electrical & Electronic Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Biological Sciences,Business & Management,Other Health,Sociology,Accounting & Finance,Art, Performing Arts & Design,Law",FALSE
1090,109,Aarhus University,65.9,1090,44.9,205,59,89,86.3,186,98.7,75,76.3,307,master_account,1,589,Denmark,"26,996",13.5,9%,56:44:00,25%,Aarhus University,"Other Health,Sport Science,Law,Computer Science,Mathematics & Statistics,Education,Veterinary Science,Geography,Economics & Econometrics,Electrical & Electronic Engineering,Communication & Media Studies,Biological Sciences,Politics & International Studies (incl Development Studies),Archaeology,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,Medicine & Dentistry,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Psychology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry",FALSE
1100,109,University of Alberta,65.9,1100,50.1,132,55.5,109,80.9,301,99.9,29,90.7,122,master_account,11,564,Canada,"33,730",22.8,27%,,27%,University of Alberta,"History, Philosophy & Theology,Agriculture & Forestry,Sociology,Computer Science,Chemical Engineering,Law,Architecture,Sport Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Electrical & Electronic Engineering,Mathematics & Statistics,Business & Management,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,General Engineering,Physics & Astronomy,Economics & Econometrics,Other Health,Civil Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Biological Sciences,Education,Medicine & Dentistry,Veterinary Science,Geography,Archaeology,Chemistry,Psychology",FALSE
1110,111,University of Adelaide,65.8,1110,42.4,253,50.6,138,92.8,78,95,119,92.9,84,master_account,11,665,Australia,"23,792",36.4,31%,49:51:00,25%,University of Adelaide Adelaide University,"Other Health,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Computer Science,Mathematics & Statistics,Art, Performing Arts & Design,Chemical Engineering,Chemistry,Geography,Law,General Engineering,Physics & Astronomy,Architecture,Veterinary Science,Education,Languages, Literature & Linguistics,Civil Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Medicine & Dentistry,Electrical & Electronic Engineering,Biological Sciences,Communication & Media Studies,Sociology,Business & Management,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Psychology,Accounting & Finance",FALSE
1120,111,University of Göttingen,65.8,1120,50,134,54.8,112,90.1,125,70.8,411,70.7,397,master_account,0,533,Germany,"23,349",27.4,14%,53:47:00,27%,University of Göttingen,"History, Philosophy & Theology,Veterinary Science,Law,Languages, Literature & Linguistics,Physics & Astronomy,Geography,Sport Science,Accounting & Finance,Computer Science,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Education,Archaeology,Sociology,Other Health,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Psychology,Biological Sciences,Chemistry,Economics & Econometrics,Art, Performing Arts & Design,Mathematics & Statistics,Business & Management",FALSE
1130,111,Université de Montréal,65.8,1130,51.2,124,54.1,118,81.7,289,96.6,98,87.7,155,master_account,11,569,Canada,"39,935",20.5,22%,,15%,Université de Montréal Université de Montréal Universite de Montreal,"Languages, Literature & Linguistics,Veterinary Science,Geography,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Chemistry,Accounting & Finance,Other Health,Electrical & Electronic Engineering,Sociology,Medicine & Dentistry,Physics & Astronomy,Business & Management,Archaeology,Mathematics & Statistics,Communication & Media Studies,Architecture,Biological Sciences,Education,General Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Art, Performing Arts & Design,Sport Science,Psychology,Computer Science,Civil Engineering,Law,Chemical Engineering,Politics & International Studies (incl Development Studies)",FALSE
1140,114,"University of Maryland, College Park",65.7,1140,49.4,138,58.1,93,92.8,79,70.2,429,48.6,848,public,0,559,United States,"33,988",17,9%,49:51:00,39%,"University of Maryland, College Park","Chemical Engineering,General Engineering,Education,Geography,Communication & Media Studies,History, Philosophy & Theology,Economics & Econometrics,Art, Performing Arts & Design,Computer Science,Civil Engineering,Other Health,Mathematics & Statistics,Languages, Literature & Linguistics,Chemistry,Mechanical & Aerospace Engineering,Archaeology,Sport Science,Politics & International Studies (incl Development Studies),Sociology,Accounting & Finance,Business & Management,Agriculture & Forestry,Physics & Astronomy,Electrical & Electronic Engineering,Architecture,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Biological Sciences",FALSE
1150,115,Ghent University,65.6,1150,47.2,172,59.3,88,85.3,201,99.7,46,65.7,468,master_account,0,570,Belgium,"41,487",37.6,12%,57:43:00,29%,Ghent University,"Languages, Literature & Linguistics,Accounting & Finance,Chemistry,Chemical Engineering,Psychology,Economics & Econometrics,Archaeology,Physics & Astronomy,Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,Sociology,Law,Mechanical & Aerospace Engineering,Other Health,Geography,Art, Performing Arts & Design,Medicine & Dentistry,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Sport Science,Business & Management,Civil Engineering,Veterinary Science,Education,Agriculture & Forestry,Communication & Media Studies",FALSE
1160,116,University of Bern,65.4,1160,45.1,202,47,167,93.3,69,99.2,67,87,167,master_account,0,576,Switzerland,"12,399",18.2,16%,59:41:00,20%,University of Bern,"Medicine & Dentistry,Mathematics & Statistics,Accounting & Finance,Biological Sciences,Law,Other Health,Sociology,Veterinary Science,Psychology,Languages, Literature & Linguistics,Archaeology,Geology, Environmental, Earth & Marine Sciences,Business & Management,Chemistry,Education,Art, Performing Arts & Design,Computer Science,Geography,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Physics & Astronomy,Sport Science,Communication & Media Studies",FALSE
1170,116,Michigan State University,65.4,1170,54.8,102,52.3,125,86.2,189,70,432,71.4,388,public,0,560,United States,"44,514",16.1,11%,52:48:00,25%,Michigan State University,"Architecture,Veterinary Science,Communication & Media Studies,Art, Performing Arts & Design,Agriculture & Forestry,Biological Sciences,Electrical & Electronic Engineering,Law,Medicine & Dentistry,Geography,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemical Engineering,Economics & Econometrics,Other Health,Sociology,Languages, Literature & Linguistics,Education,Chemistry,Business & Management,Sport Science,Physics & Astronomy,Mechanical & Aerospace Engineering,Civil Engineering,Mathematics & Statistics,Psychology,Computer Science,Politics & International Studies (incl Development Studies),General Engineering",FALSE
1180,118,Texas A&M University,65.3,1180,55.2,98,62.1,77,77.3,389,76.4,313,64.1,502,public,0,629,United States,"64,427",20.5,6%,47:53:00,35%,Texas A&M University,"Architecture,Physics & Astronomy,Communication & Media Studies,Education,Computer Science,Sport Science,Accounting & Finance,History, Philosophy & Theology,Chemical Engineering,Sociology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Law,Medicine & Dentistry,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry,Archaeology,Biological Sciences,Psychology,Electrical & Electronic Engineering,Veterinary Science,Business & Management,Other Health,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Civil Engineering,Geography",FALSE
1190,119,Rice University,65.2,1190,56.4,89,45.6,184,86.5,183,73.9,351,85.8,180,private,0,536,United States,"7,318",9.8,26%,42:58:00,41%,Rice University,"Mechanical & Aerospace Engineering,Physics & Astronomy,Business & Management,Biological Sciences,Other Health,General Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Sport Science,Economics & Econometrics,Civil Engineering,Sociology,Architecture,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Education,Computer Science,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Psychology,History, Philosophy & Theology,Chemical Engineering,Accounting & Finance",FALSE
1200,119,University of Vienna,65.2,1200,48.7,149,60.3,84,77.4,386,75.9,320,94.9,50,master_account,0,603,Austria,"31,318",37.4,31%,66:34:00,33%,University of Vienna,"Physics & Astronomy,Accounting & Finance,Archaeology,Chemistry,Education,History, Philosophy & Theology,Geography,Sport Science,Law,Languages, Literature & Linguistics,Veterinary Science,Business & Management,Mathematics & Statistics,Psychology,Other Health,Communication & Media Studies,Economics & Econometrics,Computer Science,Politics & International Studies (incl Development Studies),Biological Sciences,Sociology,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences",FALSE
1210,121,University of Helsinki,65.1,1210,48.1,157,57.6,97,90.6,114,69.2,451,56.7,648,master_account,0,555,Finland,"22,887",15.9,5%,67:33:00,20%,University of Helsinki,"Computer Science,Geography,Physics & Astronomy,Biological Sciences,Psychology,Archaeology,Chemistry,Medicine & Dentistry,Communication & Media Studies,Agriculture & Forestry,Sociology,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Other Health,Geology, Environmental, Earth & Marine Sciences,Law,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Veterinary Science,Education",FALSE
1220,122,Penn State (Main campus),65,1220,53.1,111,58.7,91,83.7,241,70.4,421,58.4,617,public,0,515,United States,"45,875",14.2,15%,48:52:00,32%,Penn State (Main campus),"Education,Economics & Econometrics,Agriculture & Forestry,Archaeology,Veterinary Science,Geography,Law,Mathematics & Statistics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Communication & Media Studies,Medicine & Dentistry,General Engineering,Chemical Engineering,Sociology,Physics & Astronomy,Sport Science,Other Health,Languages, Literature & Linguistics,Accounting & Finance,Art, Performing Arts & Design,Civil Engineering,Computer Science,Business & Management,Psychology,Chemistry,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,History, Philosophy & Theology,Architecture",FALSE
1230,123,University of Basel,64.9,1230,50.8,127,42.9,210,87.7,157,99.4,62,95.4,42,master_account,0,575,Switzerland,"8,536",10.4,31%,56:44:00,18%,University of Basel,"Economics & Econometrics,Psychology,Communication & Media Studies,Art, Performing Arts & Design,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemistry,Other Health,Computer Science,Sociology,Politics & International Studies (incl Development Studies),Sport Science,Mathematics & Statistics,History, Philosophy & Theology,Law,Medicine & Dentistry,Physics & Astronomy,Archaeology,Geography,Business & Management,Education,Biological Sciences",FALSE
1240,123,University of Massachusetts,64.9,1240,54,106,46.9,169,87.3,168,85.6,200,77.3,291,master_account,0,528,United States,"63,500",13.3,14%,50:50:00,25%,University of Massachusetts,"Veterinary Science,Electrical & Electronic Engineering,Sport Science,Sociology,Art, Performing Arts & Design,Education,Medicine & Dentistry,Physics & Astronomy,Mathematics & Statistics,Languages, Literature & Linguistics,General Engineering,Business & Management,Computer Science,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Chemical Engineering,Civil Engineering,Other Health,Chemistry,Law,Psychology,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Communication & Media Studies,Architecture,Biological Sciences,Economics & Econometrics,Accounting & Finance,Archaeology,Geography",FALSE
1250,125,Vrije Universiteit Amsterdam,64.7,1250,40.4,297,51,137,93.4,68,91.5,151,84.3,198,master_account,0,625,Netherlands,"31,704",19.2,18%,57:43:00,19%,Vrije Universiteit Amsterdam,"Sport Science,Psychology,Sociology,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Chemistry,Languages, Literature & Linguistics,Other Health,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Biological Sciences,Computer Science,Communication & Media Studies,Law,Agriculture & Forestry,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Education,Economics & Econometrics,Geography,Physics & Astronomy,Business & Management,Archaeology,Mathematics & Statistics",FALSE
